initial_rank	priority_band	legacy_id	identity_branch	key	title	family	target_relevance	impact	screen_effort	qualification_burden	local_screen_state	definition_status	primary_metric	default_next_action	minimum_probe	negative_control	reopen_condition
1	1	R07	proposal	R007.close-the-hevc-in-ts-browser-owned-construction-gap	Close the HEVC-in-TS browser-owned construction gap	route	core-playback	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
2	1	R262	report-defined	R262.configuration-interval-seek	configuration-interval seek	route	core-playback	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
3	1	R332	proposal	R332.normalize-vp9-superframes-at-the-decoder-boundary-not-globally	Normalize VP9 superframes at the decoder boundary, not globally	route	core-playback	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
4	1	R343	proposal	R343.unwrap-aac-latm-into-a-browser-decoded-audio-route	Unwrap AAC-LATM into a browser-decoded audio route	route	core-playback	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
5	1	R355	proposal	R355.preserve-native-playback-when-an-mpeg-ts-track-changes-packet-identifier	Preserve native playback when an MPEG-TS track changes packet identifier	route	core-playback	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
6	1	R358	proposal	R358.unwrap-matroska-track-compression-before-choosing-a-decoder	Unwrap Matroska track compression before choosing a decoder	route	core-playback	5	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
7	1	R363	proposal	R363.expose-prepared-fragments-as-a-native-hls-presentation	Expose prepared fragments as a native HLS presentation	route	core-playback	5	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
8	1	R09	proposal	R009.pass-already-valid-fragmented-media-through-unchanged	Pass already-valid fragmented media through unchanged	route	core-playback	5	E1	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
9	1	R138	report-continuity	R138.one-sourcebuffer-different-codec-and-container.report-continuity	one SourceBuffer, different codec and container	lifecycle	core-playback	5	E1	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
10	1	R05	proposal	R005.move-mse-ownership-off-the-window-thread	Move MSE ownership off the window thread	tooling	core-playback	4	E0	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Decision power, reproducibility or diagnostic cost without changing the measured player outcome.	Specify one concrete wrong-output or provenance failure the proposed tool must detect beyond the existing harness.	Prerequisite-only first: Existing fixtures and minimal observation surface; instrumentation overhead must be recorded separately. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Inject that failure in a tiny known-good fixture, demonstrate detection and run an unchanged control; do not build a general research platform.	A different failure, stale source/hash or malformed record must not count as the intended finding.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
11	1	R242	report-A	R242.keep-decoder-sessions-continuous-across-transport-and-mux-boundaries.report-a	Keep decoder sessions continuous across transport and mux boundaries	lifecycle	core-playback	4	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	Prerequisite-only first: Relevant existing runtime/owner only. Do not require every other backend to pass before this independent screen. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
