id,batch,range,title,report_commit
D01,1,D01–D07,AAC Program Config Element normalization,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D02,1,D01–D07,Same-size selected-track fMP4 projection,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D03,1,D01–D07,Do not widen AVC length prefixes without a demonstrated need,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D04,1,D01–D07,Strengthen six-channel native FLAC to whole-buffer 24-bit exactness,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D05,1,D01–D07,Publish decompressed packets only after complete validation,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D06,1,D01–D07,"Source-defined compatibility islands, without claiming handoff",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D07,1,D01–D07,"Let a native sink expose minimal repair sets, but not define validity",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D08,2,D08–D13,Canonicalize an exactly representable explicit AAC sample rate,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D09,2,D08–D13,Make existing fragments relocatable by repairing their address metadata,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D10,2,D08–D13,Synthesize missing decode-time headers from proven continuity,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D11,2,D08–D13,Require a complete set of repairs before deciding a route is impossible,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D12,2,D08–D13,A validated packet still needs a current source owner before publication,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D13,2,D08–D13,"A route needs track-output and timing witnesses, not only video and EOF",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D14,3,D14–D20,Jointly declare selected tracks before beginning native playback,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D15,3,D14–D20,A remux must retain both gain and end trimming,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D16,3,D14–D20,"A true simple FLAC carrier: feasible, not automatically cheaper",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D17,3,D14–D20,Keep video ownership stable through an audio codec change,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D18,3,D14–D20,A decoding success is not an integrity verdict,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D19,3,D14–D20,Match the numerical contract without expanding the samples,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D20,3,D14–D20,"Eliminate disagreement in color interpretation, not coded pictures",01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
D21,4,D21–D25,Source-bound reconstruction of abbreviated JPEG frames,01611bdaa2d9a21903bd2f1086fe0d786df6d5d1
